ID,Age,Attrition,AttritionBinary,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,DailyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,32,No,0,Travel_Rarely,Sales,13,4,Life Sciences,1,859,2,Male,73,3,2,Sales Executive,4,Divorced,4403,9250,117,2,Y,No,11,3,3,80,1,8,3,2,5,2,0,3
2,40,No,0,Travel_Rarely,Research & Development,14,3,Medical,1,1128,3,Male,44,2,5,Research Director,3,Single,19626,17544,1308,1,Y,No,14,3,1,80,0,21,2,4,20,7,4,9
3,35,No,0,Travel_Frequently,Research & Development,18,2,Life Sciences,1,1412,3,Male,60,3,3,Manufacturing Director,4,Single,9362,19944,200,2,Y,No,11,3,3,80,0,10,2,3,2,2,2,2
4,32,No,0,Travel_Rarely,Sales,1,4,Marketing,1,2016,3,Female,48,3,3,Sales Executive,4,Married,10422,24032,801,1,Y,No,19,3,3,80,2,14,3,3,14,10,5,7
5,24,No,0,Travel_Frequently,Research & Development,2,1,Technical Degree,1,1646,1,Female,32,3,1,Research Scientist,4,Single,3760,17218,567,1,Y,Yes,13,3,3,80,0,6,2,3,6,3,1,3
6,27,No,0,Travel_Frequently,Research & Development,10,2,Life Sciences,1,733,4,Male,32,3,3,Manufacturing Director,1,Divorced,8793,4809,294,1,Y,No,21,4,3,80,2,9,4,2,9,7,1,7
7,41,No,0,Travel_Rarely,Research & Development,5,5,Medical,1,1448,2,Male,90,4,1,Research Scientist,3,Married,2127,5561,1283,2,Y,Yes,12,3,1,80,0,7,5,2,4,2,0,3
8,37,No,0,Travel_Rarely,Sales,10,4,Life Sciences,1,1105,4,Female,88,2,2,Sales Executive,4,Divorced,6694,24223,309,2,Y,Yes,14,3,3,80,3,8,5,3,1,0,0,0
9,34,No,0,Travel_Rarely,Sales,10,4,Life Sciences,1,1055,3,Female,87,3,1,Sales Representative,3,Married,2220,18410,1333,1,Y,Yes,19,3,4,80,1,1,2,3,1,1,0,0
10,34,No,0,Travel_Frequently,Research & Development,10,4,Technical Degree,1,1597,4,Male,92,2,2,Healthcare Representative,3,Married,5063,15332,653,1,Y,No,14,3,2,80,1,8,3,2,8,2,7,7
